masc	fem	neutr	mascPl	femPl	neutrPl
-log	-lożka	-logum/-loże	-logowie	-lożki	-loża
-wy	-wa	-we	-wi	-we	-we
-sta	-stka	-stum/-szcze	-ści	-stki	-sta/-szcza
-ta	-tka	-tum	-ci	-tki	-ta
-ny	-na	-ne	-ni	-ne	-ne
-graf	-grafka	-grafum	-grafowie	-grafki	-grafa
-ca	-czyni	-cza	-cy	-czynie	-cza
-k	-czka	-kum/-cze/-czko	-cy	-czki	-cza/-czka
-ciel	-cielka	-cieło/ciełło	-ciele	-cielki	-cieła/-ciełła
-r	-rka	-rum	-rzy	-rki	-rza
-k	-czka	-czę	-cy	-czki	-częta
-n	-nka	-nię/-no/-nko	-ni	-nki	-nięta/-na/-nka
-n	-nka	-num/-no/-nko	-ni	-nki	-na/-nka
-usz	-uszka	-um	-usze	-uszki	-a
-nt	-ntka	-ntum	-nci	-ntki	-nta
-rz	-rka	-rzum/-rzo/-rko	-rzy	-rki	-rza/-rka
-t	-tka	-tum	-ci	-tki	-ta
-nom	-nomka	-nomum	-nomowie	-nomki	-noma
-cz	-czka	-czko/-czo	-cze	-czki	-czka/-cza
