name	count
MARIA	1504552
ANNA	893896
KATARZYNA	417438
BARBARA	413498
TERESA	377502
EWA	375682
MAŁGORZATA	333623
ELŻBIETA	320605
MAGDALENA	298212
AGNIESZKA	276328
ZOFIA	272562
KRYSTYNA	230398
JADWIGA	205657
JOANNA	198843
JANINA	172176
MONIKA	162594
HELENA	160513
MARTA	135315
DANUTA	134013
DOROTA	133595
STANISŁAWA	133322
IRENA	123968
BEATA	119563
JOLANTA	119325
WERONIKA	116222
ALEKSANDRA	112140
KAROLINA	109154
URSZULA	103828
GRAŻYNA	98405
WIKTORIA	94668
HALINA	91431
KAZIMIERA	87132
MARIANNA	86660
JÓZEFA	84587
ALICJA	83658
IWONA	83507
BOŻENA	81919
JULIA	81239
AGATA	80428
IZABELA	78817
NATALIA	75913
JUSTYNA	73714
SYLWIA	72380
PAULINA	67263
WANDA	61189
PATRYCJA	60836
RENATA	58458
KINGA	57646
ŁUCJA	51348
DOMINIKA	46866
EMILIA	46805
STEFANIA	45530
WIESŁAWA	42854
GABRIELA	42395
ZUZANNA	41840
MARZENA	41813
ANTONINA	41791
EDYTA	38893
LUCYNA	38482
WŁADYSŁAWA	37162
EWELINA	35358
ANIELA	34833
LIDIA	34460
HANNA	34164
KLAUDIA	33311
BOGUMIŁA	32817
ANETA	32433
MARIOLA	31618
GENOWEFA	30648
KAMILA	30061
FRANCISZKA	28170
BRONISŁAWA	27333
CECYLIA	27320
HENRYKA	27109
MIROSŁAWA	27105
OLIWIA	26857
SABINA	26778
ALINA	24665
REGINA	24544
DARIA	24036
BOGUSŁAWA	24036
CZESŁAWA	23953
MICHALINA	21766
WIOLETTA	21062
MAJA	20178
RÓŻA	20145
ANGELIKA	20058
ROZALIA	19556
MARTYNA	19183
BERNADETA	16731
OLGA	15767
ZDZISŁAWA	15763
AMELIA	15373
LEOKADIA	15001
GERTRUDA	14498
ANASTAZJA	13934
LAURA	13834
MIECZYSŁAWA	13317
ILONA	12784
ANITA	12190
EUGENIA	12103
SANDRA	11899
KLARA	11773
WIOLETA	11362
LENA	10517
DAGMARA	10390
HONORATA	10146
MARLENA	10076
BRYGIDA	9563
ELIZA	9480
NIKOLA	9339
LUDWIKA	9113
CELINA	9020
KORNELIA	8707
JAGODA	8703
DANIELA	8644
SARA	8577
KARINA	8558
MILENA	8246
FAUSTYNA	7908
ROKSANA	7158
JULIANNA	7054
MAGDA	6961
ADRIANNA	6944
ALDONA	6928
APOLONIA	6875
LUIZA	6737
WACŁAWA	6694
IZABELLA	6689
MARCELINA	6560
ŻANETA	6470
MALWINA	6175
ELEONORA	6027
MATYLDA	5859
NINA	5790
DIANA	5695
ROMANA	5631
JULITA	5540
WALERIA	5416
LILIANA	5355
NADIA	5344
PAULA	5328
RITA	5036
PELAGIA	5000
AURELIA	4927
FELICJA	4914
VIOLETTA	4841
ELWIRA	4691
ADRIANA	4610
BOŻENNA	4582
ADELA	4475
BERNADETTA	4450
IGA	4135
KONSTANCJA	4065
ANDŻELIKA	4013
ALFREDA	3974
WALENTYNA	3780
JUDYTA	3692
FELIKSA	3435
ZENONA	3352
OTYLIA	3332
BLANKA	3263
RYSZARDA	3208
ESTERA	3204
LILIANNA	3178
MARZANNA	3123
SONIA	2950
JOWITA	2915
ROMUALDA	2874
JÓZEFINA	2873
BERNARDA	2836
VICTORIA	2824
KAJA	2814
TEODORA	2727
POLA	2658
ALBINA	2641
