name	origin	meaning	usage	legally	cons	pros	notablePeople	count	links
Aba	hebrajskie (m)	{ojciec}	żeńskie i męskie	męskie				M:14, K:5
Abi	hebrajskie (k) - zdr. od Abigail	radość ojca	częściej żeńskie	żeńskie	może zostać uznane za zdrobnienie	unisex końcówka		M:2, K:9
Abia	arabskie (k), farerskie (m)	wielki (ar.)	Skandynawia (m), kr. arabskie (k)	unisex			Abia Brown (m)	M&K:0	https://www.nordicnames.de/wiki/Abia https://en.wikipedia.org/wiki/Abia_Brown
Abir	arabskie (k), hebrajskie (m), bengalskie (m)	zapach (ar.)	Indie(m), kr. arabskie (k)	unisex			Abir Chatterjee (m), Abir Al-Sahlani (k)	M:4, K:17	https://en.wikipedia.org/wiki/Abir_Al-Sahlani https://en.wikipedia.org/wiki/Abir_Chatterjee
Abe	hebrajskie (m), zdr. od Abraham		raczej męskie	męskie	może zostać uznane za zdrobnienie	nijaka końcówka		M:2, K:0	https://en.wikipedia.org/wiki/Abe_(given_name)
Adi	hebrajskie, sanskryt	klejnot (hebr.)	unisex	unisex	może zostać uznane za zdrobnienie	unisex końcówka	Adi Ashkenazi (k), Adi Rocha (m)	M:92. K: 257	https://en.wikipedia.org/wiki/Adi_(name)
Adiel	hebrajskie (m)	ozdoba Boga	raczej męskie	męskie		końcówka Arielkowa		M:5, K:0	https://en.wikipedia.org/wiki/Adiel
Adriel	hebrajskie (m)		raczej męskie	męskie		końcówka Arielkowa		M:9, K:2
Aeron	celtyckie	wojna, królowa jasności	unisex	unisex			Aeron Clement (m)	M:2, K:0	https://pl.wikipedia.org/wiki/Aeron_(imi%C4%99) http://www.imiona.info/Aeron.html https://en.wikipedia.org/wiki/Aeron_Clement https://en.wikipedia.org/wiki/River_Aeron
Agam	hebrajskie, hindi	jezioro (hebr.)	raczej męskie	unisex			Agam Darshi (k)	M:5, K:18	https://www.babycenter.in/babyname/25050895/agam
Agi	starogermańskie, greckie - zdr. od Agata, Agnes		Chorwacja (m), Skandynawia (unisex), Węgry (k)	unisex	może zostać uznane za zdrobnienie	unisex końcówka	Agi Donath (k)	M&K:0	https://www.behindthename.com/name/agi https://www.nordicnames.de/wiki/Agi_m https://www.nordicnames.de/wiki/Agi_f https://en.wikipedia.org/wiki/AGI
Alde	wersja imienia Alda, germańskie		Skandynawia(k)	żeńskie		nijaka końcówka		M&K:0	https://www.nordicnames.de/wiki/Alde
Ale 			Skandynawia, języki romańskie (m)	męskie	może zostać uznane za zdrobnienie	nijaka końcówka		M:2, K:0	https://en.wikipedia.org/wiki/Ale_(disambiguation)
Aleks/Alex	greckie 	obrończe ludu	unisex	żeńskie	może zostać uznane za zdrobnienie, uznawane w PL za męskie		Alex Wagner (k)	Aleks: M:8245, K:4 Alex: M:8984, K:53	https://en.wikipedia.org/wiki/Alex_Wagner https://en.wikipedia.org/wiki/Alex#People_whose_first_name_is_Alex https://www.famousfix.com/list/celebrities-with-first-name-alex
Aleksandre	greckie	obrończe ludu	Francja, Portugalia, Gruzja (m)	męskie		nijaka końcówka		M:170, K:0
Alexis	greckie	obrończe ludu	Kraje anglojęz. (uni), Grecja(m)	unisex		unisex końcówka	Alexis Panselinos (m), Alexis Jordan (k)	M:192, K:95 	https://pl.wiktionary.org/wiki/Alexis  https://en.wikipedia.org/wiki/Alexis_Panselinos  https://en.wikipedia.org/wiki/Alexis_Jordan
Ali	arabskie, ang. zdrobnienie licznych imion	wysokie	Kraje anglojęz. (uni), kr. arabskie(m)	unisex	może zostać uznane za zdrobnienie, kojarzone męsko	unisex końcówka	Ali Landry (k)	M: 1723, K: 57 (gł. im. drugie)	https://en.wikipedia.org/wiki/Ali_(name)#Given_name https://en.wikipedia.org/wiki/Ali_Landry
Alika	arabskie, hawajskie, germańskie		raczej żeskie	unisex			Alika DeRego (m)	M: 14, K: 17	https://thesundevils.com/sports/baseball/roster/alika-williams/8712 https://en.wikipedia.org/wiki/Alika_DeRego
Aliki	arabskie, hawajskie, germańskie		raczej żeńskie	unisex		unisex końcówka		M: 2, K: 23
Alix	starofrancuskie lub greckie		unisex, częściej żeńskie	unisex		unisex końcówka	Alix Popham (m)	M:2, K:27	https://en.wikipedia.org/wiki/Alix_(given_name)
Alo	rdzennie amerykańskie	przewodnicze duchowe	męskie	męskie		nijaka końcówka		M&K:0	https://www.names.org/n/alo/about https://themeaningofthename.com/alo/
Alte	jidysz		żeńskie i męskie	żeńskie		nijaka końcówka		M&K:0	https://www.nordicnames.de/wiki/Alte https://www.kveller.com/jewish-baby-name/alte/
Alva	germańskie, hebrajskie	elf (ger.), jego wysokość (hebr.)	unisex - Skandynawia (k), kr. anglojęz. (m)	unisex			Alva Mydral (k), Alva Duer (m)	M:2, K:15	https://en.wikipedia.org/wiki/Alva_(given_name)
