masc	fem	neutr	mascPl	femPl	neutrPl
-log	-lożka	-logo	-logowie	-lożki	-loga
-wy	-wa	-we	-wi	-we	-we
-sta	-stka	-sto	-ści	-stki	-sta
-ta	-tka	-to	-ci	-tki	-ta
-ny	-na	-ne	-ni	-ne	-ne
-graf	-grafka	-grafo	-grafowie	-grafki	-grafa
-ca	-czyni	-cze	-cy	-czynie	-cza
-k	-czka	-kum/-cze/-czko	-cy	-czki	-cza/-czka
-ciel	-ciółka	-cioło	-ciele	-ciółki	-cioła
-r	-rka	-ro	-rzy	-rki	-ra
-k	-czka	-ko	-cy	-czki	-ka
-n	-nka	-no	-ni	-nki	-na
-usz	-uszka	-usze	-usze	-uszki	-usza
-nt	-ntka	-nto	-nci	-ntki	-nta
-t	-tka	-to	-ci	-tki	-ta
-nom	-nomka	-nomo	-nomowie	-nomki	-noma
-cz	-czka	-cze	-cze	-czki	-cza
