name	count
JAN	656937
PIOTR	607165
STANISŁAW	475213
ANDRZEJ	420095
JÓZEF	407685
PAWEŁ	403137
KRZYSZTOF	328695
ADAM	283147
TOMASZ	252148
MAREK	251208
MICHAŁ	233999
JERZY	205223
GRZEGORZ	197566
WOJCIECH	192804
MARCIN	187884
KAZIMIERZ	183843
TADEUSZ	173118
ŁUKASZ	169853
MARIAN	162702
ANTONI	159500
FRANCISZEK	154035
ZBIGNIEW	138857
JAKUB	132157
RYSZARD	129589
ROBERT	129179
JACEK	126847
HENRYK	124692
MATEUSZ	116198
JANUSZ	112774
WŁADYSŁAW	110268
MACIEJ	108954
KAROL	104893
MARIUSZ	98420
RAFAŁ	95630
ROMAN	91764
DARIUSZ	89407
ALEKSANDER	84940
SEBASTIAN	82949
STEFAN	76821
EDWARD	72798
MIROSŁAW	70123
ARTUR	68658
MIECZYSŁAW	68120
KAMIL	66983
SŁAWOMIR	61810
WIESŁAW	61673
DAWID	61443
DANIEL	60174
SZYMON	59616
JAROSŁAW	58400
MIKOŁAJ	58367
DOMINIK	56044
CZESŁAW	55736
ZDZISŁAW	55056
LESZEK	54809
BOGDAN	52881
PATRYK	50965
DAMIAN	50660
ZYGMUNT	49972
WALDEMAR	49453
WIKTOR	46414
PRZEMYSŁAW	44900
SYLWESTER	43724
EUGENIUSZ	42877
KONRAD	42867
ARKADIUSZ	38633
KACPER	37646
BOGUSŁAW	36618
BARTŁOMIEJ	34263
KRYSTIAN	31988
ADRIAN	31417
FILIP	30746
WŁODZIMIERZ	30708
BRONISŁAW	30522
WITOLD	30341
SZCZEPAN	30017
MAKSYMILIAN	29082
IRENEUSZ	28551
WACŁAW	27906
BOLESŁAW	27404
BARTOSZ	27145
ZENON	25588
LEON	25211
HUBERT	23059
IGNACY	22711
JULIAN	22693
RADOSŁAW	21820
LUDWIK	21146
BERNARD	19761
GABRIEL	19468
FELIKS	17623
CEZARY	17487
EDMUND	15779
NORBERT	15635
LECH	14599
LUCJAN	14258
ALOJZY	13262
WINCENTY	12944
OSKAR	12347
EMIL	12175
BŁAŻEJ	11280
BOGUMIŁ	10911
WALENTY	10663
SEWERYN	10055
MARIA	9918
IGOR	9649
MIŁOSZ	8842
TEODOR	8740
ROMUALD	8581
BENEDYKT	8395
GERARD	8079
JOACHIM	8031
ALFRED	7966
ERYK	7919
AUGUSTYN	7377
ALBERT	7301
FLORIAN	7224
JULIUSZ	6916
MARCEL	6552
KONSTANTY	6447
OLIWIER	6398
LEONARD	6335
NIKODEM	6308
REMIGIUSZ	5901
WAWRZYNIEC	5440
ERNEST	5253
ALAN	5239
LESŁAW	5213
KAJETAN	5116
KSAWERY	4964
FABIAN	4662
TEOFIL	4270
RAJMUND	4244
RUDOLF	4112
TYMOTEUSZ	4093
HIERONIM	4059
WILHELM	3880
EMANUEL	3748
CYPRIAN	3688
FRYDERYK	3676
GUSTAW	3562
LEOPOLD	3550
BRUNON	3510
KLAUDIUSZ	3465
OLAF	3368
KLEMENS	3319
ROCH	3280
MARCELI	3217
ALEXANDER	3192
IZYDOR	3090
GRACJAN	3048
ALBIN	2955
ALFONS	2725
ADOLF	2717
WALERIAN	2660
BORYS	2518
MICHAEL	2517
TOBIASZ	2451
BENIAMIN	2331
DAVID	2250
JĘDRZEJ	2208
KORNEL	2203
BOHDAN	2194
ZYGFRYD	2176
SAMUEL	2143
NATAN	2044
BRUNO	2024
ALEKSY	2016
SERGIUSZ	2006
AMADEUSZ	1991
JOHN	1958
OLGIERD	1947
PAUL	1852
AUGUST	1840
ERWIN	1836
KUBA	1807
PETER	1788
MARTIN	1759
MAURYCY	1739
ROLAND	1682
WALTER	1637
IWO	1589
JAMES	1523
JOSEPH	1515
ŁUCJAN	1502
FERDYNAND	1484
EMILIAN	1476
THOMAS	1468
MIESZKO	1467
TYMON	1438
ARIEL	1431
HERBERT	1404
JACENTY	1381
ARNOLD	1373
ZIEMOWIT	1324
LONGIN	1303
JEREMI	1247
WIT	1238
BOŻYDAR	1236
BONIFACY	1209
TYTUS	1202
DORIAN	1196
DIONIZY	1196
EDWIN	1195
PATRICK	1127
OLIVIER	1070
DENIS	1049
OKTAWIAN	1021
ELIGIUSZ	1009
KASPER	1008
ANTHONY	1003
ALEX	1003
RICHARD	1002
JOSEF	986
WILLIAM	980
NATANIEL	980
OLIVER	979
KORDIAN	975
IDZI	966
WERNER	945
CHRISTOPHER	943
ALEKS	936
ANDREW	935
KUMAR	891
GINTER	883
MAKSYM	859
KOSMA	851
EUZEBIUSZ	828
CYRYL	822
KRYSPIN	811
KORNELIUSZ	797
HELMUT	775
CHRISTIAN	765
PATRYCJUSZ	756
ANTONIO	751
ELIASZ	746
LECHOSŁAW	744
SINGH	744
ANDREAS	741
ANATOL	736
AURELIUSZ	735
OLIWER	714
MARK	712
BAZYLI	710
JEREMIASZ	684
MANUEL	683
HIPOLIT	680
HERMAN	663
MANFRED	655
URBAN	652
MIRON	650
SZCZĘSNY	639
NARCYZ	632
JONASZ	632
JONATAN	630
MAXIMILIAN	626
VICTOR	621
AMBROŻY	621
APOLINARY	618
KEVIN	613
BRAJAN	604
MELCHIOR	599
ROGER	597
HERONIM	591
RAFAEL	590
JUSTYN	587
JACOB	583
BENJAMIN	582
EWALD	576
NICOLAS	566
GERHARD	565
GEORGE	561
FELICJAN	552
JAROMIR	552
HUGO	549
LUBOMIR	548
HENRY	546
ARON	539
ALI	538
DONAT	537
MILAN	526
MAX	523
JOHANNES	519
HILARY	516
KEWIN	515
HORST	510
BALTAZAR	507
OTTO	495
MIGUEL	484
CHARLES	484
VINCENT	475
DIETER	473
BENON	466
LEO	463
BOGUSZ	459
LUDOMIR	456
MATTHEW	455
MAKS	437
ZBYSZEK	432
ZACHARIASZ	428
OSCAR	425
ZBYSŁAW	424
APOLONIUSZ	422
GEORG	422
MARIO	419
WOLFGANG	413
JOSE	413
LUKAS	410
JORDAN	409
HEINZ	409
JANUARY	404
EDGAR	403
NICHOLAS	401
KURT	399
RADOMIR	398
JAVIER	393
STANISLAW	392
ARTHUR	392
BARNABA	391
WAWRZYN	389
JOZEF	388
GWIDON	388
JEAN	384
LEW	382
FRANCIS	381
PHILIP	381
ALBERTO	380
WALERY	380
KARL	365
CARLOS	364
SOBIESŁAW	363
RUFIN	359
SIMON	356
LUIS	353
PIERRE	352
SERAFIN	350
EWARYST	350
MAKARY	344
MICHEL	344
ALEJANDRO	342
JOHANN	339
KLAUS	331
PAWEL	330
CELESTYN	329
FRANZ	328
JONATHAN	327
LUCAS	326
MEDARD	326
ZBYSZKO	325
JAREMA	321
NIKOLAS	317
WINICJUSZ	313
AHMED	313
MARKUS	312
BONAWENTURA	310
DYMITR	310
FRANK	308
BAHADUR	305
EDUARDO	303
JURAND	303
ANASTAZY	302
WIEŃCZYSŁAW	300
DOBROMIR	299
CHRYSTIAN	298
KRYSTYN	298
XAVIER	296
ANTON	291
STANLEY	288
CEZAR	284
OSWALD	283
DAMAZY	282
ERIC	280
MOHAMED	280
ALEXANDRE	279
ZENOBIUSZ	278
MICHAL	276
LOUIS	274
VIKTOR	273
MODEST	272
AARON	272
NATHAN	271
TYCJAN	269
BRIAN	267
DOBROSŁAW	266
CHRISTOPH	266
NAPOLEON	264
LEE	259
PASCAL	256
RONALD	253
JUREK	252
SATURNIN	251
HEINRICH	250
SYLWERIUSZ	243
IAN	241
ANGELO	240
ERIK	240
DOBIESŁAW	239
KASJAN	238
KSAWIER	237
ANDRÉ	235
ANDRES	232
MARCO	231
OTTON	231
FELIX	231
ANDRE	231
ENRIQUE	230
OKTAWIUSZ	227
HANS	225
JÜRGEN	224
EMMANUEL	222
GNIEWOMIR	218
GNIEWKO	216
CAN	216
JUNIOR	213
JOSÉ	213
EUSTACHY	212
STEPHEN	212
KOSTKA	210
KRZESIMIR	209
RAJNOLD	209
PABLO	208
ENGELBERT	207
WILLI	206
TELESFOR	203
GREGORY	202
WITALIS	202
FERNANDO	198
GABRYEL	197
RICARDO	197
OREST	196
IBRAHIM	196
TYBERIUSZ	194
JOSHUA	194
JAKOB	193
RENE	192
FRANCISCO	190
JORGE	189
ROBERTO	189
ERAZM	189
JACK	189
PRASAD	189
DOMINIC	188
REINHOLD	188
DYONIZY	188
GREGOR	188
NORMAN	188
MARC	186
ANGEL	186
PIO	183
LUCJUSZ	183
SAMBOR	181
ERICH	180
RYAN	177
STEVEN	176
JOEL	175
SCOTT	172
HARRY	172
LEONARDO	171
FILIPE	169
GÜNTER	169
OLEG	169
LUKASZ	168
FAUSTYN	167
MARIE	166
FRANCESCO	165
AXEL	164
NOAH	164
PHILIPPE	163
TRISTAN	163
SYMEON	161
ONUFRY	161
HARALD	161
MARCUS	160
OMAR	157
DIEGO	157
POLIKARP	156
CEZARIUSZ	156
JUSTIN	155
SYLWIUSZ	155
ARMIN	155
DEZYDERIUSZ	153
ARMAND	152
MOSHE	152
IVAN	152
ALLAN	148
PEDRO	148
GOTFRYD	145
JASON	145
GAWEŁ	144
JACQUES	144
HENRI	144
HERMANN	144
DITER	143
ELIAS	142
XAWERY	141
MIŁOSŁAW	141
ERNST	141
GILBERT	140
GERWAZY	139
NOEL	138
ŁADYSŁAW	138
BERNHARD	137
EZEQUIEL	137
MAXYMILIAN	137
DENNIS	136
KARIM	135
SEAN	135
IVO	134
WITOSŁAW	134
NOE	134
SŁAWEK	133
ABRAHAM	133
IGNACIO	132
SERWACY	131
MOHAMMED	131
RUBEN	131
MAGNUS	131
LUCA	130
GIOVANNI	130
GEORGES	129
LUDWIG	128
FRIEDRICH	128
JOHAN	128
MARIUS	128
CONRAD	128
SŁAWOJ	127
ANDRÉS	126
GIUSEPPE	126
HUGON	125
AUGUSTO	125
KANTY	125
DONALD	125
LIAM	125
PHILIPP	125
ANTOINE	123
RAYMOND	123
CLAUDE	123
TOMAS	122
EGON	122
MATTHIAS	122
HELIODOR	122
IZAAK	122
HENRIQUE	121
IWAN	121
PRZYBYSŁAW	121
NESTOR	121
NATHANIEL	121
BARTEK	120
ANH	119
NAM	119
MAURICE	119
PAOLO	119
GERALD	118
ZAWISZA	118
SANTIAGO	117
KRISTIAN	117
LUKE	116
KAI	116
MŚCISŁAW	116
RAFAL	116
FRANÇOIS	115
WIRGILIUSZ	115
CHRISTOPHE	115
TOBIAS	115
EMRE	115
ISAAC	114
GNIEWOSZ	114
FREDERICK	113
HASSAN	112
RAJ	112
PIUS	112
ANZELM	112
AHMAD	112
FRANCOIS	108
KENNETH	108
MIKAEL	105
COLIN	105
ZACHARY	105
BRANDON	105
ANTONIUSZ	104
ROBIN	103
VALENTIN	103
RAPHAEL	103
TIMOTHY	102
JÓZEFAT	102
ALLEN	101
ANTONY	101
JULIEN	101
EKSPEDYT	101
ALAIN	100
BERNARDYN	100
SAMIR	100
CORNELIS	100
ULRICH	100
MARCJAN	99
RADZISŁAW	99
PATRIK	98
PANKRACY	98
MIKOLAJ	98
ISRAEL	98
METODY	98
RAUL	97
PAULIN	97
HAIM	97
HENRIK	97
WINCENT	96
JUAN	96
HEKTOR	96
MATHIAS	95
FELIPE	94
IVANOV	94
EUSTACHIUSZ	93
GUSTAV	93
WADIM	92
ESTEBAN	92
DAREK	92
ARMANDO	92
DARIUS	91
KONSTANTYN	91
PHILLIP	91
ERNESTO	91
DOUGLAS	91
BRYAN	91
EDUARD	90
GUSTAVO	90
CRISTIAN	90
MINH	90
ETHAN	89
RENÉ	89
WILLEM	89
NATANAEL	88
MUSTAFA	87
KALIKST	87
ROMEO	87
GORDON	87
ROY	87
PAULO	86
WOJTEK	86
VĂN	86
THEODOR	86
SALOMON	85
LAWRENCE	85
MIKE	85
MATIAS	84
STANISLAS	84
BASTIAN	84
ANDREA	83
ALOIS	83
RAINER	83
JESUS	83
MARCELO	83
JUHANI	83
LOTHAR	82
BRAYAN	82
WENANCJUSZ	81
JAREK	81
MARTYN	81
HORACY	80
YVES	80
ANTONIUS	80
BERND	80
LARS	79
OTON	79
REINHARD	79
REDDY	79
SERGIO	78
HENDRIK	78
AMIR	78
AVRAHAM	78
YOSEF	78
EUGEN	77
ERHARD	77
ALESSANDRO	77
LUIGI	76
MATTEO	76
JULIUS	76
TOM	76
SIEGFRIED	76
HUNG	76
-	75
LOTAR	75
DARIO	75
GEORGIEV	75
CESAR	75
CARL	74
MARKO	74
CASPER	74
ZVI	74
URSYN	74
ALFREDO	73
UWE	73
EUGENE	73
WLADYSLAW	73
DAN	72
FRITZ	72
AKSEL	72
KEITH	72
CHRISTOF	72
SŁAWOSZ	72
STEPHAN	72
JEREMY	71
DYLAN	71
LAURENT	71
MEIR	70
DENIZ	70
EMILIO	70
SALVATORE	70
GUY	70
SYLWIN	70
TUAN	69
BERTOLD	69
RAMON	68
FLAWIUSZ	68
SHMUEL	68
RADEK	68
ABDULLAH	68
DOMINIQUE	67
SON	67
WASYL	67
SYKSTUS	67
KASPIAN	67
RAY	67
REGINALD	67
STUART	67
SAMI	66
JONAS	66
KAJ	66
BRUCE	66
ŚCIBOR	66
PETRUS	66
ARKADY	66
ADALBERT	65
LAMBERT	65
ISMAIL	65
PASKAL	65
FEDERICO	65
SHLOMO	65
HASAN	65
MATHEW	64
RAGNAR	64
NEIL	64
RADZIMIR	63
LIONEL	63
THANH	63
MAMERT	63
HERNAN	63
DIMITROV	63
MUHAMMAD	63
LORENZO	63
JAY	63
NICO	62
MAHMOUD	62
ANDERS	62
FREDERIK	62
ALEXIS	61
MORDECHAI	61
PROKOP	61
VALENTINO	61
MOHAMMAD	60
LONG	60
KAAN	60
GABOR	60
CONSTANTIN	60
CARLO	60
MEHMET	60
LEWIS	59
NIKOLAUS	59
DEAN	59
LUIZ	59
RAJNARD	59
CZESLAW	59
SVEN	58
VIET	58
ITZHAK	58
KLEOFAS	58
CHANDRA	58
GASTON	58
WAYNE	58
RALF	58
CHRIS	57
MIROSLAW	57
NIKO	57
FREDERIC	57
YANN	57
STANISLAUS	57
JACOBUS	56
CLAUDIO	56
WIRGINIUSZ	56
DIRK	56
KRISHNA	56
SAID	56
NICOLÁS	56
GUILLERMO	56
HUSSAIN	56
BURAK	56
ARTURO	56
RUSSELL	55
RODRIGO	55
AMINE	55
THEO	55
LESLIE	55
RADOMIŁ	55
PIETRO	55
SYLVESTER	55
TONY	54
FREDRIK	54
RAMZES	54
OWEN	54
GERD	54
WENANTY	54
ARIE	54
MICHELE	54
LIWIUSZ	54
RAM	53
BENEDIKT	53
PIETER	53
ROŚCISŁAW	53
ROLF	53
JŰRGEN	53
FORTUNAT	52
KONSTANTIN	52
DUNG	52
JANUARIUSZ	52
JEFFREY	52
JANISŁAW	52
ARIAN	52
TOMISŁAW	52
